ev fond sig
560.0 892.8571428571429 947.4025974025974
561.0 891.2655971479501 945.8110516934046
562.0 889.6797153024911 944.2251698479456
563.0 888.0994671403197 942.6449216857742
564.0 886.5248226950355 941.07027724049
565.0 884.9557522123894 939.5012067578439
566.0 883.3922261484099 937.9376806938644
567.0 881.8342151675485 936.379669713003
568.0 880.2816901408451 934.8271446862996
569.0 878.7346221441124 933.280076689567
570.0 877.1929824561404 931.7384370015949
571.0 875.6567425569177 930.2021971023722
572.0 874.1258741258741 928.6713286713286
573.0 872.6003490401396 927.1458035855941
574.0 871.0801393728223 925.6255939182768
575.0 869.5652173913044 924.1106719367589
576.0 868.0555555555555 922.60101010101
577.0 866.5511265164645 921.096581061919
578.0 865.0519031141869 919.5973576596414
579.0 863.5578583765113 918.1033129219658
580.0 862.0689655172414 916.6144200626959
581.0 860.5851979345955 915.13065248005
582.0 859.106529209622 913.6519837550765
583.0 857.6329331046312 912.1783876500857
584.0 856.1643835616438 910.7098381070983
585.0 854.7008547008547 909.2463092463092
586.0 853.2423208191126 907.7877753645671
587.0 851.7887563884157 906.3342109338702
588.0 850.3401360544218 904.8855905998763
589.0 848.8964346349745 903.441889180429
590.0 847.457627118644 902.0030816640985
591.0 846.0236886632825 900.569143208737
592.0 844.5945945945946 899.1400491400491
593.0 843.1703204047218 897.7157749501763
594.0 841.7508417508418 896.2962962962963
595.0 840.3361344537815 894.881588999236
596.0 838.9261744966443 893.4716290420988
597.0 837.5209380234506 892.0663925689051
598.0 836.1204013377926 890.6658558832471
599.0 834.7245409015025 889.269995446957
600.0 833.3333333333334 887.8787878787879
601.0 831.9467554076539 886.4922099531084
602.0 830.5647840531561 885.1102385986106
603.0 829.1873963515754 883.73285089703
604.0 827.8145695364238 882.3600240818784
605.0 826.4462809917355 880.99173553719
606.0 825.0825082508251 879.6279627962796
607.0 823.7232289950576 878.2686835405121
608.0 822.3684210526316 876.9138755980861
609.0 821.0180623973728 875.5635169428273
610.0 819.672131147541 874.2175856929955
611.0 818.3306055646481 872.8760601101026
612.0 816.9934640522875 871.538918597742
613.0 815.6606851549756 870.2061397004301
614.0 814.3322475570033 868.8777021024578
615.0 813.0081300813008 867.5535846267553
616.0 811.6883116883117 866.2337662337662
617.0 810.3727714748784 864.9182260203329
618.0 809.0614886731391 863.6069432185936
619.0 807.7544426494346 862.2998971948891
620.0 806.4516129032259 860.9970674486804
621.0 805.1529790660226 859.6984336114771
622.0 803.8585209003215 858.403975445776
623.0 802.5682182985554 857.1136728440099
624.0 801.2820512820513 855.8275058275058
625.0 800.0 854.5454545454545
626.0 798.7220447284345 853.267499273889
627.0 797.4481658692185 851.993620414673
628.0 796.1783439490446 850.7237984944991
629.0 794.912559618442 849.4580141638965
630.0 793.6507936507936 848.1962481962481
631.0 792.3930269413629 846.9384814868174
632.0 791.1392405063291 845.6846950517836
633.0 789.8894154818325 844.434870027287
634.0 788.6435331230284 843.1889876684829
635.0 787.4015748031496 841.9470293486041
636.0 786.1635220125786 840.7089765580331
637.0 784.9293563579278 839.4748109033823
638.0 783.6990595611285 838.244514106583
639.0 782.4726134585289 837.0180680039834
640.0 781.25 835.7954545454545
641.0 780.0312012480499 834.5766557935044
642.0 778.816199376947 833.3616539224015
643.0 777.6049766718507 832.1504312173053
644.0 776.3975155279503 830.9429700734048
645.0 775.1937984496124 829.7392529950669
646.0 773.9938080495356 828.5392625949901
647.0 772.7975270479135 827.342981593368
648.0 771.604938271605 826.1503928170595
649.0 770.4160246533128 824.9614791987673
650.0 769.2307692307693 823.7762237762238
651.0 768.0491551459294 822.5946096913839
652.0 766.8711656441718 821.4166201896263
653.0 765.6967840735069 820.2422386189614
654.0 764.525993883792 819.0714484292465
655.0 763.3587786259542 817.9042331714087
656.0 762.1951219512196 816.7405764966741
657.0 761.03500761035 815.5804621558045
658.0 759.8784194528876 814.4238739983421
659.0 758.7253414264036 813.2707959718581
660.0 757.5757575757576 812.1212121212121
661.0 756.4296520423601 810.9751065878146
662.0 755.2870090634441 809.8324636088986
663.0 754.1478129713424 808.6932675167969
664.0 753.0120481927711 807.5575027382256
665.0 751.8796992481203 806.4251537935749
666.0 750.7507507507507 805.2962052962052
667.0 749.6251874062968 804.1706419517513
668.0 748.502994011976 803.0484485574306
669.0 747.3841554559043 801.9296100013588
670.0 746.2686567164179 800.8141112618724
671.0 745.156482861401 799.7019374068554
672.0 744.047619047619 798.5930735930735
673.0 742.9420505200594 797.4875050655139
674.0 741.839762611276 796.3852171567305
675.0 740.7407407407408 795.2861952861954
676.0 739.6449704142012 794.190424959658
677.0 738.5524372230428 793.097891768529
678.0 737.4631268436578 792.0085813894983
679.0 736.3770250368188 790.9224795864831
680.0 735.2941176470588 789.8395722336005
681.0 734.2143906020558 788.7598455063758
682.0 733.1378299120234 787.6832872624411
683.0 732.0644216691069 786.6098958345134
684.0 730.9941520467836 785.539729406557
685.0 729.92700729927 784.473149841722
686.0 728.862973760933 783.4118775053803
