eV std mean
531.5372169282964 70.77964782714844 1021.5121459960938
531.860841509395 71.28129577636719 1020.182861328125
532.1844660904935 71.02290344238281 1021.6024169921875
532.5080906715921 70.68205261230469 1023.994873046875
532.8317152526906 70.50457763671875 1027.6768798828125
533.1553398337892 70.95479583740234 1030.416259765625
533.4789644148877 71.996337890625 1034.4840087890625
533.8025889959863 73.1124496459961 1037.3924560546875
534.1262135770849 73.76990509033203 1041.1075439453125
534.4498381581834 74.85881805419922 1042.611572265625
534.773462739282 75.67962646484375 1045.2891845703125
535.0970873203805 75.00037384033203 1046.8448486328125
535.4207119014791 74.91215515136719 1047.3529052734375
535.7443364825776 75.99037170410156 1049.2462158203125
536.0679610636762 75.54841613769531 1049.876953125
536.3915856447748 75.57210540771484 1049.93603515625
