eV SSS FS3D NN BPFA ITKrMM wKSVD GT
517.6719990682602 990.9756402372067 988.6592397676122 1002.6905710741386 981.2434935809442 971.4031280281005 979.5399103742809 956.3277133572225
517.9959990692139 985.9959104142106 984.5651847167079 1000.6402374469603 978.0036199127928 967.6939450997465 975.8570943268431 950.5379537012352
518.3199990701676 983.6020110825806 981.3301012591497 997.684843807538 974.6331929928893 964.4163143692432 972.4999149600196 948.10503810605
518.6439990711212 982.3265397833952 979.0161666804315 998.5939860443737 973.1944233655651 963.4415640015806 970.904522575225 945.9790141557984
518.9679990720749 978.7011744441054 975.5846770711848 994.6817443159924 969.9585346179374 959.3454386771881 967.4000443549911 942.4672618025418
519.2919990730286 977.6537565772446 974.0365033398812 993.0493217608227 967.9158848868187 957.7272730630746 965.9786655892498 940.7130731564606
519.6159990739823 975.3736837263419 972.4114568287963 991.5737705383824 966.3041001377254 955.6646363397947 963.7789255886667 937.5625212653185
519.9399990749359 977.3812500458214 971.434024031209 997.369300837876 965.8690737256901 955.4506760999619 963.2359326820862 938.0003551695279
520.2639990758896 975.4104910532452 971.9254331795812 991.5923014758829 965.4696522779157 955.4249278938887 963.0707638233256 939.8187149575533
520.5879990768433 976.531648691219 974.8458721377666 992.1295653417476 968.9880294617108 958.3998483960795 966.2623741530743 936.9086141042162
520.911999077797 974.8150919131926 971.3336730908118 994.9487476166751 966.5784685766258 955.8116644790114 963.0333518853128 936.113651505658
521.2359990787506 970.8796088266723 969.0899834415402 987.8966048363222 963.6824391260895 952.9027144211035 960.6442680527649 932.2529975265245
521.5599990797043 971.6809906128279 968.0421767945722 991.9876513671578 962.6785245100651 951.772346472117 959.5057964040933 929.4900470874786
521.883999080658 970.663844783189 966.0782403387423 992.9750572002127 961.1485557298316 950.3920418178109 957.5281785834615 930.0674759474999
522.2079990816117 971.4140850345012 967.1383794977154 993.2670702700798 962.5553847327722 951.6533405067313 958.8929685557698 930.1612092195049
522.5319990825653 967.4358356920109 963.9861856669829 991.8590970986957 960.0520600376994 948.9853850034518 955.8475576047396 926.3914955456848
522.855999083519 966.4521096450616 962.8835353968283 988.4117436744398 958.1705265260001 947.3011232352526 954.7744620995956 927.1327420919118
523.1799990844727 967.0893114732846 961.7179878231372 991.3971573095059 957.6136929269039 946.9033275156776 953.7598624623912 922.6699360797985
523.5039990854264 964.1256190839649 957.0641416264157 989.1300467401735 952.5690486796152 942.0636890934146 949.1999322714169 921.0793294529345
523.82799908638 966.4730835505701 958.0100954158953 990.8777081475007 953.5058139989446 943.4111850928443 950.2280774994256 924.7782160936168
524.1519990873337 962.1123830876895 954.2613544466296 985.9865001226844 949.7286370821332 939.3952259433473 946.4505563312446 922.3167362074131
524.4759990882874 962.1772094646046 955.0386179862511 986.3290936917881 950.2748527541287 940.3349908840522 947.0808670198602 919.7593126860656
524.799999089241 962.3728356562511 954.664037075024 986.0155968739491 949.5790304808761 939.9774298216707 946.5726401273434 922.5129435974424
525.1239990901947 963.9203833331408 953.6359414495162 987.2214053086551 947.7348488891993 938.8115543559799 945.0609213717698 922.7731227817471
525.4479990911484 957.2818065971776 951.2456755685072 974.9245413900046 944.643201719634 935.2083037092356 942.3950035571089 923.421918434629
525.7719990921021 957.169890822524 952.344814019322 971.2385179811199 944.8936311634334 935.9475537603109 943.0889527292135 923.694334385987
