GT NN eV BPFA SSS ITKrMM FS3D wKSVD
957.0 991.4797189605724 522.855999083519 958.6849572653998 967.8000461496871 948.8350082940983 957.3404722975384 952.8352435581166
981.0 993.9835654188752 523.1799990844727 956.2618470473042 966.3856705578379 946.5975359585731 954.5716207119866 950.1256878858155
948.0 993.6548693377397 523.5039990854264 951.9809929765105 965.0394945020178 943.0194683628964 950.7739099125234 946.3188608485664
990.0 991.8582716029855 523.82799908638 952.6485032229864 965.9976690997223 943.7024391908317 951.4983041572495 947.2259618978078
998.0 991.4545228637026 524.1519990873337 950.5404117423802 964.286457312545 941.8422164721437 949.4399882284994 945.1855443043563
990.0 987.8444632959133 524.4759990882874 948.4947140347105 961.2904128510206 939.6632930623194 947.5845919923803 943.1430292495113
950.0 988.7206041761848 524.799999089241 948.8011210666882 962.6754018520179 940.5208460182012 948.1855068323612 943.6814022775075
930.0 989.1158000444823 525.1239990901947 946.5653623826097 962.5516602616982 938.6053159614212 946.1349648707686 941.6734523680085
895.0 977.4447486262424 525.4479990911484 945.5867759584326 958.8917426405953 937.2842225614665 945.9278910917051 941.0666235664024
891.0 974.7108374976544 525.7719990921021 944.8042406420055 957.6517783227819 936.6313819329679 945.2242275040752 940.3238751076558
937.0 972.1936211494018 526.0959990930558 943.2749051601186 957.0031506787349 935.4843888912853 944.318695823725 939.2548509609911
938.0 966.8498923746406 526.4199990940094 941.8500689637673 953.8932353616419 933.3648362215895 942.7636590238295 937.8180442508186
996.0 961.6514188471326 526.7439990949631 943.9488965373129 954.6907018515716 935.3578645445652 945.4433439871154 940.4639904705471
871.0 955.9610404207251 527.0679990959168 941.4554791154488 951.4817771794973 932.5670116658008 943.6800639394534 938.3650923928192
967.0 947.1218644803532 527.3919990968704 940.9723115935868 948.5794064963367 931.4469490297574 943.852187536817 938.3337959987587
982.0 940.4994289440168 527.7159990978241 939.979332541372 948.7551368196187 930.3641210648966 944.4378480204493 938.5179526496339
948.0 935.5389082942594 528.0399990987778 941.8962035754669 949.4238757403351 931.6620422788902 947.1824307113638 940.9818824783149
975.0 929.6298092191055 528.3639990997315 939.0030844662256 950.0333917076438 929.1004395827965 946.3852334457089 939.8736063183757
1032.0 927.3813193545975 528.6879991006851 939.9278720913691 951.7203644991528 930.1321657546116 948.4425613784202 941.6358292675467
894.0 925.0835661996342 529.0119991016388 939.5553441034616 952.9625709142352 930.3437408295368 949.4021725292862 942.3217868529691
977.0 920.6827307040212 529.3359991025925 939.5987573464379 951.5657586048275 930.1704687665488 949.6010876592446 942.7768116574545
912.0 922.6687387057978 529.6599991035462 938.290089251712 950.2577023465086 929.1765588242547 947.4012989410294 940.9516046386235
947.0 921.551599284129 529.9839991044998 937.1759197604018 947.284431848278 927.7418084460918 945.9073747447817 939.3872518551573
934.0 918.0091754634482 530.3079991054535 937.4941270190037 945.1466474232343 927.2224377999313 945.7761256260391 939.0657375366098
1005.0 918.7173083404311 530.6319991064072 937.1672023690522 942.6388130145286 926.6474178494575 944.5007381947084 938.0658832716592
