x   y   c
0.0100000000 0.0000562341 -2.8307555425
0.0100000000 0.0001000000 -2.8327518068
0.0100000000 0.0001778279 -2.8355784687
0.0100000000 0.0003162278 -2.8409180083
0.0100000000 0.0005623413 -2.8504476132
0.0100000000 0.0010000000 -2.8656361463
0.0100000000 0.0017782794 -2.8890048687
0.0100000000 0.0031622777 -2.9241773205
0.0100000000 0.0056234133 -2.9504317114
0.0100000000 0.0100000000 -2.9123681582
0.0100000000 0.0177827941 -2.8749039070
0.0100000000 0.0316227766 -2.6501753461
0.0100000000 0.0562341325 -2.6224043560
0.0100000000 0.1000000000 -2.5733289964
0.0100000000 0.1778279410 -2.3894789275
0.0100000000 0.3162277660 -1.7934715159
0.0100000000 0.5623413252 -1.4052721847
0.0100000000 1.0000000000 -1.0412143970
0.0100000000 1.7782794100 -0.7131847475
0.0100000000 3.1622776602 -0.4639532821
0.0100000000 5.6234132519 -0.3037942530
0.0100000000 10.0000000000 -0.2100017034
0.0100000000 17.7827941004 -0.1626157291
0.0100000000 31.6227766017 -0.1317779834
0.0100000000 56.2341325190 -0.1085238986
0.0100000000 100.0000000000 -0.0861359572
0.0100000000 177.8279410039 -0.0498355331
0.0100000000 316.2277660168 0.0000000000
0.0100000000 562.3413251903 0.0000000000
0.0100000000 1000.0000000000 0.0000000000
0.0177827941 0.0000100000 -2.8552779953
0.0177827941 0.0000177828 -2.8554985840
0.0177827941 0.0000316228 -2.8558902396
0.0177827941 0.0000562341 -2.8565847790
0.0177827941 0.0001000000 -2.8578137694
0.0177827941 0.0001778279 -2.8599801103
0.0177827941 0.0003162278 -2.8637727268
0.0177827941 0.0005623413 -2.8695599906
0.0177827941 0.0010000000 -2.8798225755
0.0177827941 0.0017782794 -2.8971342717
0.0177827941 0.0031622777 -2.9234533094
0.0177827941 0.0056234133 -2.9618161159
0.0177827941 0.0100000000 -2.9872772813
0.0177827941 0.0177827941 -2.9500984926
0.0177827941 0.0316227766 -2.9048853641
0.0177827941 0.0562341325 -2.6838126365
0.0177827941 0.1000000000 -2.6684828036
0.0177827941 0.1778279410 -2.5847000160
0.0177827941 0.3162277660 -2.2875852203
0.0177827941 0.5623413252 -1.8270467250
0.0177827941 1.0000000000 -1.4584742831
0.0177827941 1.7782794100 -1.0636775753
0.0177827941 3.1622776602 -0.7279334384
0.0177827941 5.6234132519 -0.4586231469
0.0177827941 10.0000000000 -0.3005969519
0.0177827941 17.7827941004 -0.2033245392
0.0177827941 31.6227766017 -0.1549779276
0.0177827941 56.2341325190 -0.1193624295
0.0177827941 100.0000000000 -0.0892165218
0.0177827941 177.8279410039 -0.0495119992
