x   y   c
0.1778279410 0.0031622777 30.2324408620
0.1778279410 0.0056234133 30.3536696690
0.1778279410 0.0100000000 30.5590644790
0.1778279410 0.0177827941 30.8758947740
0.1778279410 0.0316227766 31.3308305340
0.1778279410 0.0562341325 31.8464640140
0.1778279410 0.1000000000 31.8459592810
0.1778279410 0.1778279410 31.8439989510
0.1778279410 0.3162277660 28.7079211330
0.1778279410 0.5623413252 27.7483478250
0.1778279410 1.0000000000 25.6898507830
0.1778279410 1.7782794100 23.0183150950
0.1778279410 3.1622776602 20.1305158610
0.1778279410 5.6234132519 18.8665007320
0.1778279410 10.0000000000 12.3478885830
0.1778279410 17.7827941004 8.0511447490
0.1778279410 31.6227766017 4.6139952640
0.1778279410 56.2341325190 2.3298554600
0.1778279410 100.0000000000 1.1493621090
0.1778279410 177.8279410039 0.4178457990
0.1778279410 316.2277660168 -0.0000000000
0.1778279410 562.3413251903 -0.0000000000
0.1778279410 1000.0000000000 -0.0000000000
0.3162277660 0.0000100000 30.6715675260
0.3162277660 0.0000177828 30.6718465720
0.3162277660 0.0000316228 30.6723427340
0.3162277660 0.0000562341 30.6732248660
0.3162277660 0.0001000000 30.6747929640
0.3162277660 0.0001778279 30.6775796470
0.3162277660 0.0003162278 30.6825293530
0.3162277660 0.0005623413 30.6913129760
0.3162277660 0.0010000000 30.7068746740
0.3162277660 0.0017782794 30.7343640190
0.3162277660 0.0031622777 30.7826665450
0.3162277660 0.0056234133 30.8667279660
0.3162277660 0.0100000000 31.0059347340
0.3162277660 0.0177827941 31.2416344640
0.3162277660 0.0316227766 31.2693262610
0.3162277660 0.0562341325 31.6578916480
0.3162277660 0.1000000000 31.8206520800
0.3162277660 0.1778279410 32.0668189200
0.3162277660 0.3162277660 28.7348234630
0.3162277660 0.5623413252 28.1102682590
0.3162277660 1.0000000000 26.5701049490
0.3162277660 1.7782794100 25.0597239080
0.3162277660 3.1622776602 24.6056677360
0.3162277660 5.6234132519 18.6611043310
0.3162277660 10.0000000000 14.5734019580
0.3162277660 17.7827941004 10.4734579460
0.3162277660 31.6227766017 6.2403869200
0.3162277660 56.2341325190 2.8971815830
0.3162277660 100.0000000000 1.1812166710
0.3162277660 177.8279410039 0.3690682490
0.3162277660 316.2277660168 -0.0000000000
0.3162277660 562.3413251903 -0.0000000000
0.3162277660 1000.0000000000 -0.0000000000
0.5623413252 0.0000100000 29.8712465320
0.5623413252 0.0000177828 29.8713991510
0.5623413252 0.0000316228 29.8716705300
0.5623413252 0.0000562341 29.8721530520
0.5623413252 0.0001000000 29.8730109050
0.5623413252 0.0001778279 29.8745357560
0.5623413252 0.0003162278 29.8772453060
0.5623413252 0.0005623413 29.8820571240
0.5623413252 0.0010000000 29.8905932540
0.5623413252 0.0017782794 29.9057076030
0.5623413252 0.0031622777 29.9323784920
0.5623413252 0.0056234133 29.9791526440
0.5623413252 0.0100000000 30.0602638430
0.5623413252 0.0177827941 27.5565901700
0.5623413252 0.0316227766 27.2754802460
0.5623413252 0.0562341325 30.7618116130
0.5623413252 0.1000000000 31.1549564450
0.5623413252 0.1778279410 31.4140741210
0.5623413252 0.3162277660 31.2942397130
0.5623413252 0.5623413252 28.0702626000
0.5623413252 1.0000000000 23.0733798010
0.5623413252 1.7782794100 23.7137165350
0.5623413252 3.1622776602 22.5600790480
0.5623413252 5.6234132519 19.0746904320
0.5623413252 10.0000000000 19.0106062390
0.5623413252 17.7827941004 13.7979912370
0.5623413252 31.6227766017 7.7257578530
0.5623413252 56.2341325190 3.6378882180
0.5623413252 100.0000000000 1.2277216290
0.5623413252 177.8279410039 0.3019675040
0.5623413252 316.2277660168 -0.0000000000
0.5623413252 562.3413251903 -0.0000000000
0.5623413252 1000.0000000000 -0.0000000000
1.0000000000 0.0000100000 26.1209050880
1.0000000000 0.0000177828 26.1209375420
1.0000000000 0.0000316228 26.1209952520
1.0000000000 0.0000562341 26.1210978640
1.0000000000 0.0001000000 26.1212803000
1.0000000000 0.0001778279 26.1216046020
1.0000000000 0.0003162278 26.1221809250
1.0000000000 0.0005623413 26.1232045950
1.0000000000 0.0010000000 26.1250211920
1.0000000000 0.0017782794 26.1282396500
1.0000000000 0.0031622777 26.1339250440
1.0000000000 0.0056234133 29.5353302340
1.0000000000 0.0100000000 29.5728900740
1.0000000000 0.0177827941 29.6361886460
1.0000000000 0.0316227766 29.7864920670
1.0000000000 0.0562341325 28.9761710990
1.0000000000 0.1000000000 30.0307193200
1.0000000000 0.1778279410 27.6971368000
1.0000000000 0.3162277660 27.7574104740
1.0000000000 0.5623413252 29.7121187090
1.0000000000 1.0000000000 28.8266830410
1.0000000000 1.7782794100 27.1775673310
1.0000000000 3.1622776602 21.3577944450
1.0000000000 5.6234132519 20.0291652770
1.0000000000 10.0000000000 20.2964625100
1.0000000000 17.7827941004 12.8802855720
1.0000000000 31.6227766017 8.8536379950
1.0000000000 56.2341325190 4.4484058770
1.0000000000 100.0000000000 1.2010373270
1.0000000000 177.8279410039 0.2406322430
1.0000000000 316.2277660168 -0.0000000000
1.0000000000 562.3413251903 -0.0000000000
1.0000000000 1000.0000000000 -0.0000000000
1.7782794100 0.0000100000 28.0739911900
1.7782794100 0.0000177828 28.0740172700
1.7782794100 0.0000316228 28.0740636420
1.7782794100 0.0000562341 28.0741460860
1.7782794100 0.0001000000 28.0742926430
1.7782794100 0.0001778279 28.0745530930
1.7782794100 0.0003162278 28.0750157100
1.7782794100 0.0005623413 28.0758366780
1.7782794100 0.0010000000 28.0772912100
1.7782794100 0.0017782794 28.0798606510
1.7782794100 0.0031622777 28.0843750610
1.7782794100 0.0056234133 28.0922261420
1.7782794100 0.0100000000 28.1056083310
1.7782794100 0.0177827941 18.9233826270
1.7782794100 0.0316227766 28.2784061510
1.7782794100 0.0562341325 28.3343863820
1.7782794100 0.1000000000 27.3519895710
1.7782794100 0.1778279410 27.4368845460
1.7782794100 0.3162277660 28.4531769880
1.7782794100 0.5623413252 19.9350957390
1.7782794100 1.0000000000 23.8504207110
1.7782794100 1.7782794100 22.7578313320
1.7782794100 3.1622776602 23.2853074250
1.7782794100 5.6234132519 20.4182358000
1.7782794100 10.0000000000 15.6511610720
1.7782794100 17.7827941004 13.5262057430
1.7782794100 31.6227766017 9.6285423840
1.7782794100 56.2341325190 5.0693547530
1.7782794100 100.0000000000 1.1991421820
1.7782794100 177.8279410039 0.1592558780
1.7782794100 316.2277660168 -0.0000000000
1.7782794100 562.3413251903 -0.0000000000
1.7782794100 1000.0000000000 -0.0000000000
3.1622776602 0.0000100000 26.7487737750
3.1622776602 0.0000177828 26.7487849960
3.1622776602 0.0000316228 26.7488049470
3.1622776602 0.0000562341 26.7488404180
3.1622776602 0.0001000000 26.7489034700
3.1622776602 0.0001778279 26.7490155100
3.1622776602 0.0003162278 26.7492144900
3.1622776602 0.0005623413 26.7495675070
3.1622776602 0.0010000000 26.7501926540
3.1622776602 0.0017782794 26.7512960390
3.1622776602 0.0031622777 26.7532317390
3.1622776602 0.0056234133 26.7565897420
3.1622776602 0.0100000000 26.7622951480
