eV loc1 loc2 loc3
501.1165063050321 1287.0 1109.0 1307.0
501.44013088613065 1267.0 1141.0 1235.0
501.7637554672292 1259.0 1074.0 1194.0
502.08738004832776 1199.0 1046.0 1092.0
502.4110046294263 1239.0 1130.0 1046.0
502.7346292105249 1270.0 1106.0 1071.0
503.05825379162343 1226.0 1048.0 1082.0
503.381878372722 1286.0 1069.0 1111.0
503.70550295382054 1290.0 1059.0 1048.0
504.0291275349191 1232.0 1032.0 1041.0
504.35275211601765 1240.0 1065.0 1170.0
504.6763766971162 1173.0 998.0 1154.0
505.00000127821477 1284.0 978.0 1067.0
505.3236258593133 1340.0 999.0 1045.0
505.6472504404119 1384.0 965.0 1031.0
505.97087502151044 1386.0 1027.0 1095.0
506.294499602609 1367.0 955.0 962.0
506.61812418370755 1287.0 1006.0 1043.0
506.9417487648061 1297.0 992.0 1052.0
507.26537334590466 1254.0 997.0 1087.0
507.5889979270032 1208.0 913.0 1152.0
507.9126225081018 1194.0 921.0 1081.0
508.23624708920033 1230.0 1043.0 1058.0
508.5598716702989 1280.0 1135.0 1031.0
508.88349625139745 1278.0 1110.0 1075.0
509.207120832496 1371.0 1114.0 1094.0
509.53074541359456 1263.0 1172.0 1122.0
509.8543699946931 1343.0 1150.0 1079.0
510.1779945757917 1224.0 1111.0 1101.0
510.50161915689023 1315.0 1112.0 1064.0
510.8252437379888 1260.0 1172.0 1053.0
511.14886831908734 1340.0 1191.0 1097.0
511.4724929001859 1208.0 1158.0 1160.0
511.79611748128445 1265.0 1133.0 1146.0
512.119742062383 1323.0 1149.0 1150.0
512.4433666434816 1341.0 1202.0 1176.0
512.7669912245801 1365.0 1224.0 1102.0
513.0906158056787 1281.0 1098.0 1075.0
513.4142403867772 1303.0 1082.0 1149.0
513.7378649678758 1381.0 1048.0 1211.0
514.0614895489744 1308.0 1011.0 1217.0
514.3851141300729 1318.0 981.0 1208.0
514.7087387111715 1282.0 1039.0 1215.0
515.03236329227 1289.0 1073.0 1153.0
515.3559878733686 1297.0 1037.0 1086.0
